t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
1.095000000000000195e+00,2.411330729636154757e+01,9.759713307296360654e+03,6.188800275297988707e-01,6.273004489688945029e-02,6.273004489688946417e-02
1.102500000000000036e+00,2.486990897438689174e+01,9.840269908974385544e+03,6.136706744187451212e-01,6.275123519207986833e-02,6.275123519207985445e-02
1.110000000000000098e+00,2.562422949977903031e+01,9.920824229499776266e+03,6.085958520131383720e-01,6.276695063133282126e-02,6.276695063133284902e-02
1.117500000000000160e+00,2.637629560858422195e+01,1.000137629560858113e+04,6.032416229747663561e-01,6.277711386979654973e-02,6.277711386979653585e-02
1.125000000000000000e+00,2.712615141406457653e+01,1.008192615141405986e+04,5.979591062408543545e-01,6.278166012509403537e-02,6.278166012509404925e-02
1.132500000000000062e+00,2.787372456132856513e+01,1.016247372456132325e+04,5.924561793567049151e-01,6.278097874817359370e-02,6.278097874817359370e-02
1.140000000000000124e+00,2.861913590481080405e+01,1.024301913590480581e+04,5.869350259260526226e-01,6.277470306521490406e-02,6.277470306521491794e-02
1.147500000000000187e+00,2.936243896631157213e+01,1.032356243896630440e+04,5.812774742966630992e-01,6.276270795056670959e-02,6.276270795056670959e-02
1.155000000000000027e+00,3.010364704366072530e+01,1.040410364704365384e+04,5.754918672065275631e-01,6.274504151839610522e-02,6.274504151839613297e-02
1.162500000000000089e+00,3.084265869750635147e+01,1.048464265869749761e+04,5.696760527335891222e-01,6.272218229225659525e-02,6.272218229225659525e-02
1.170000000000000151e+00,3.157968223505634953e+01,1.056517968223504795e+04,5.636066659806875379e-01,6.269343485857754861e-02,6.269343485857753473e-02
1.177499999999999991e+00,3.231467494753018599e+01,1.064571467494752142e+04,5.576342779479329659e-01,6.265905810552573063e-02,6.265905810552571675e-02
1.185000000000000053e+00,3.304760978578819675e+01,1.072624760978577797e+04,5.513173870316252501e-01,6.261932655581400886e-02,6.261932655581399498e-02
1.192500000000000115e+00,3.377864956562020637e+01,1.080677864956560916e+04,5.451518267366169956e-01,6.257377635200193911e-02,6.257377635200192523e-02
1.200000000000000178e+00,3.450761849984062479e+01,1.088730761849982810e+04,5.386885408279943332e-01,6.252305570172292382e-02,6.252305570172295157e-02
1.207500000000000018e+00,3.523480388171849853e+01,1.096783480388170574e+04,5.322506496579403334e-01,6.246621178160262355e-02,6.246621178160263049e-02
1.215000000000000080e+00,3.595994856040028509e+01,1.104835994856038633e+04,5.256686042257063818e-01,6.240449256182559190e-02,6.240449256182560578e-02
1.222500000000000142e+00,3.668333844973170699e+01,1.112888333844971748e+04,5.189792965484091303e-01,6.233684134683741690e-02,6.233684134683741690e-02
1.230000000000000204e+00,3.740481255846891884e+01,1.120940481255845407e+04,5.123170613810289487e-01,6.226388502410361986e-02,6.226388502410363374e-02
1.237500000000000044e+00,3.812451447321434728e+01,1.128992451447319945e+04,5.054164631759230364e-01,6.218546814422676317e-02,6.218546814422676317e-02
