t,A,Iuv
1.357500000000000151e+00,8.552386243350622586e-01,5.940311377950919375e-02
1.365000000000000213e+00,8.554962741803875392e-01,5.942361198180473592e-02
1.372500000000000053e+00,8.557722161155728591e-01,5.942027302106928088e-02
1.380000000000000115e+00,8.554262455431277390e-01,5.939686618726285061e-02
1.387500000000000178e+00,8.553102632849209908e-01,5.942294514401810085e-02
1.395000000000000018e+00,8.557624423289100779e-01,5.942629496109102377e-02
1.402500000000000080e+00,8.555747295751240378e-01,5.940373669502679171e-02
1.410000000000000142e+00,8.550743193951869658e-01,5.942066980294348488e-02
1.417500000000000204e+00,8.557078179848042199e-01,5.943044233667901105e-02
1.425000000000000044e+00,8.556829430665929825e-01,5.941471385513053677e-02
1.432500000000000107e+00,8.550668695028638133e-01,5.941686192431217678e-02
1.440000000000000169e+00,8.556070472583986453e-01,5.943277768875611378e-02
1.447500000000000009e+00,8.557497198931907079e-01,5.942407711501816042e-02
1.455000000000000071e+00,8.552840838891724307e-01,5.941159761270370376e-02
1.462500000000000133e+00,8.554587984294342862e-01,5.943337213408307618e-02
1.470000000000000195e+00,8.557738604956738326e-01,5.943154377934523058e-02
1.477500000000000036e+00,8.554630179628749387e-01,5.940606504143608468e-02
1.485000000000000098e+00,8.552617032656143481e-01,5.943230009202618569e-02
1.492500000000000160e+00,8.557541312124570254e-01,5.943710261026549646e-02
1.500000000000000222e+00,8.556025632984255447e-01,5.941599669115391752e-02
1.507500000000000062e+00,8.550143564262477902e-01,5.942963718406194668e-02
1.515000000000000124e+00,8.556892636220364556e-01,5.944080029120787922e-02
1.522500000000000187e+00,8.557015792377705710e-01,5.942664187003730142e-02
1.530000000000000027e+00,8.551188977773630517e-01,5.942545939919554460e-02
1.537500000000000089e+00,8.555779538977376086e-01,5.944270203615777126e-02
1.545000000000000151e+00,8.557588922109092833e-01,5.943555037641751887e-02
1.552500000000000213e+00,8.553276152022986079e-01,5.941984284549105266e-02
1.560000000000000053e+00,8.554188621774687640e-01,5.944287997693741693e-02
1.567500000000000115e+00,8.557732950623910817e-01,5.944255051777145443e-02
1.575000000000000178e+00,8.554978063041421832e-01,5.941710699701761855e-02
1.582500000000000240e+00,8.552106119513619431e-01,5.944140890176687758e-02
1.590000000000000080e+00,8.557435463858775737e-01,5.944765107121341430e-02
1.597500000000000142e+00,8.556283554823952420e-01,5.942805603888825366e-02
1.605000000000000204e+00,8.549517894704170562e-01,5.943836453854995511e-02
1.612500000000000044e+00,8.556683698691175399e-01,5.945090466465300511e-02
1.620000000000000107e+00,8.557181147511355723e-01,5.943831705030096224e-02
1.627500000000000169e+00,8.551690400141598314e-01,5.943382288960384618e-02
1.635000000000000231e+00,8.555464536518229135e-01,5.945237865898173740e-02
1.642500000000000071e+00,8.557659030607323025e-01,5.944676666933696590e-02
1.650000000000000133e+00,8.553692058765900441e-01,5.942786025241487968e-02
1.657500000000000195e+00,8.553764496991700383e-01,5.945214600330436111e-02
1.665000000000000036e+00,8.557705056259587995e-01,5.945330321817958452e-02
1.672500000000000098e+00,8.555305978086819030e-01,5.942880128976315429e-02
1.680000000000000160e+00,8.551569731938840624e-01,5.945028177490096349e-02
1.687500000000000222e+00,8.557306732626860368e-01,5.945795030029745604e-02
1.695000000000000062e+00,8.556520930005550030e-01,5.943989895796919498e-02
1.702500000000000124e+00,8.549877996493718824e-01,5.944686177811808747e-02
1.710000000000000187e+00,8.556451217355321992e-01,5.946076522321925434e-02
1.717500000000000249e+00,8.557325361042172895e-01,5.944974551926635042e-02
1.725000000000000089e+00,8.552172840916688612e-01,5.944196202253292094e-02
1.732500000000000151e+00,8.555125311189910597e-01,5.946181707702475477e-02
1.740000000000000213e+00,8.557707385565196390e-01,5.945773446136388279e-02
1.747500000000000053e+00,8.554088434358014803e-01,5.943566849567687854e-02
1.755000000000000115e+00,8.553315451748516596e-01,5.946117946698021434e-02
1.762500000000000178e+00,8.557654779090108077e-01,5.946381071491913667e-02
1.770000000000000240e+00,8.555613796377546931e-01,5.944057544433992146e-02
1.777500000000000080e+00,8.551007707488752496e-01,5.945892769432763875e-02
1.785000000000000142e+00,8.557154971668865517e-01,5.946800907225048560e-02
1.792500000000000204e+00,8.556737626438907229e-01,5.945151936436023771e-02
1.800000000000000044e+00,8.550425514999229204e-01,5.945513761656451290e-02
1.807500000000000107e+00,8.556195041394109024e-01,5.947039055330503171e-02
1.815000000000000169e+00,8.557448297100073153e-01,5.946093321993282943e-02
1.822500000000000231e+00,8.552636178107998477e-01,5.944988524789747431e-02
1.830000000000000071e+00,8.554761708044773538e-01,5.947102564311647355e-02
1.837500000000000133e+00,8.557733847256557835e-01,5.946846127339418253e-02
1.845000000000000195e+00,8.554465153241658237e-01,5.944360448758000126e-02
1.852500000000000258e+00,8.552841326900649799e-01,5.946998847148567829e-02
1.860000000000000098e+00,8.557581975458423695e-01,5.947408076471707994e-02
1.867500000000000160e+00,8.555901388711212308e-01,5.945225927044690134e-02
1.875000000000000222e+00,8.550419882756816747e-01,5.946735451072879264e-02
1.882500000000000062e+00,8.556980033323313695e-01,5.947783506002733006e-02
1.890000000000000124e+00,8.556933511199523723e-01,5.946291565701701531e-02
1.897500000000000187e+00,8.550954347999083494e-01,5.946319965391610313e-02
1.905000000000000249e+00,8.555915019070060579e-01,5.947978814254649416e-02
1.912500000000000089e+00,8.557549818961793786e-01,5.947188567267949755e-02
1.920000000000000151e+00,8.553080288939852727e-01,5.945759992071943806e-02
1.927500000000000213e+00,8.554373571199700432e-01,5.948001162303564321e-02
1.935000000000000053e+00,8.557738275083789370e-01,5.947895370576738311e-02
1.942500000000000115e+00,8.554822089055189593e-01,5.945327103776789496e-02
1.950000000000000178e+00,8.552341962352231208e-01,5.947858004812524302e-02
1.957500000000000240e+00,8.557486500818058950e-01,5.948412011016730033e-02
1.965000000000000080e+00,8.556168625062626765e-01,5.946378890400553369e-02
1.972500000000000142e+00,8.549806093370095894e-01,5.947556901852535383e-02
1.980000000000000204e+00,8.556781769021990502e-01,5.948743490532663880e-02
1.987500000000000266e+00,8.557108450521506704e-01,5.947408834610069112e-02
1.995000000000000107e+00,8.551464375451903743e-01,5.947105445020726966e-02
2.002499999999999947e+00,8.555610997722141731e-01,5.948896445096958641e-02
2.010000000000000231e+00,8.557629789044602919e-01,5.948260784272797058e-02
2.017500000000000071e+00,8.553505049844196684e-01,5.946511240012539862e-02
2.025000000000000355e+00,8.553960743831970914e-01,5.948878126551416373e-02
2.032500000000000195e+00,8.557720527571964775e-01,5.948921746954784207e-02
2.040000000000000036e+00,8.555159114626075256e-01,5.946418694059295296e-02
2.047500000000000320e+00,8.551817197052421493e-01,5.948696022426101099e-02
2.055000000000000160e+00,8.557368209727977959e-01,5.949393453667265602e-02
2.062500000000000000e+00,8.556415374577422961e-01,5.947513596597745617e-02
2.070000000000000284e+00,8.549622470313811284e-01,5.948357702222206722e-02
2.077500000000000124e+00,8.556560029285370517e-01,5.949681428047529086e-02
2.084999999999999964e+00,8.557262309791878740e-01,5.948503886746784458e-02
2.092500000000000249e+00,8.551955476536087231e-01,5.947870758983901662e-02
2.100000000000000089e+00,8.555282823761768407e-01,5.949792497310126688e-02
2.107500000000000373e+00,8.557688068900914935e-01,5.949310406892574510e-02
2.115000000000000213e+00,8.553910336454373375e-01,5.947242961463080485e-02
2.122500000000000053e+00,8.553523068175702404e-01,5.949733986319759999e-02
2.130000000000000338e+00,8.557680462364040119e-01,5.949925741903605569e-02
2.137500000000000178e+00,8.555476101965072688e-01,5.947538124655192548e-02
2.145000000000000018e+00,8.551266868992332126e-01,5.949513408266247916e-02
2.152500000000000302e+00,8.557226955848014072e-01,5.950352892286679685e-02
2.160000000000000142e+00,8.556641505566529027e-01,5.948628648819640624e-02
2.167499999999999982e+00,8.550178459589097280e-01,5.949138339398618580e-02
2.175000000000000266e+00,8.556314663718338487e-01,5.950597794231216042e-02
2.182500000000000107e+00,8.557394953545390814e-01,5.949576894775449737e-02
2.190000000000000391e+00,8.552427529643757964e-01,5.948616373734043339e-02
2.197500000000000231e+00,8.554930342668947141e-01,5.950667429179241907e-02
2.205000000000000071e+00,8.557724519213493197e-01,5.950337802742398235e-02
2.212500000000000355e+00,8.554296023599667897e-01,5.947962902660924867e-02
2.220000000000000195e+00,8.553060385518234110e-01,5.950569180533638730e-02
2.227500000000000036e+00,8.557617936216268539e-01,5.950907758317793700e-02
2.235000000000000320e+00,8.555772922261063451e-01,5.948656170790918990e-02
2.242500000000000160e+00,8.550690815201645867e-01,5.950310581269579319e-02
2.250000000000000000e+00,8.557062591934879725e-01,5.951290728468436320e-02
2.257500000000000284e+00,8.556846885501552258e-01,5.949723310327944409e-02
2.265000000000000124e+00,8.550715817735791147e-01,5.949899212320572395e-02
2.272499999999999964e+00,8.556045521006440113e-01,5.951492977865741052e-02
2.280000000000000249e+00,8.557506245459876038e-01,5.950628024627910989e-02
2.287500000000000089e+00,8.552880412376003827e-01,5.949342668533219580e-02
2.295000000000000373e+00,8.554553398988520296e-01,5.951521612443348014e-02
2.302500000000000213e+00,8.557738999791048018e-01,5.951343271522768763e-02
2.310000000000000053e+00,8.554661985300290317e-01,5.948780662399917596e-02
2.317500000000000338e+00,8.552572536196573205e-01,5.951384062291909666e-02
2.325000000000000178e+00,8.557532804993835951e-01,5.951868119453156830e-02
2.332500000000000018e+00,8.556049445876101611e-01,5.949762719265141997e-02
2.340000000000000302e+00,8.550088871744693231e-01,5.951087875411396194e-02
2.347500000000000142e+00,8.556874969836866240e-01,5.952207281344745748e-02
2.354999999999999982e+00,8.557031381008866067e-01,5.950797165980033915e-02
2.362500000000000266e+00,8.551234425078498846e-01,5.950640635893384572e-02
2.370000000000000107e+00,8.555752448908430230e-01,5.952367284825094140e-02
2.377500000000000391e+00,8.557596048348081741e-01,5.951657414530050344e-02
2.385000000000000231e+00,8.553314001533767197e-01,5.950049940015313121e-02
2.392500000000000071e+00,8.554151836315722068e-01,5.952355336310159728e-02
2.400000000000000355e+00,8.557731369552007417e-01,5.952327044608585194e-02
2.407500000000000195e+00,8.555008094750016223e-01,5.949781106259079133e-02
2.415000000000000036e+00,8.552059359560674201e-01,5.952178902939148780e-02
2.422500000000000320e+00,8.557424923630208013e-01,5.952807071851532600e-02
2.430000000000000160e+00,8.556305542301563261e-01,5.950853355731040850e-02
2.437500000000000000e+00,8.549460873618316414e-01,5.951845544080197614e-02
2.445000000000000284e+00,8.556663940381975531e-01,5.953102791757867301e-02
2.452500000000000124e+00,8.557194857749531591e-01,5.951849959263486034e-02
2.460000000000000409e+00,8.551734161037529702e-01,5.951362846348022539e-02
2.467500000000000249e+00,8.555435293940254482e-01,5.953220943890862732e-02
2.475000000000000089e+00,8.557664223820294902e-01,5.952665165662637120e-02
2.482500000000000373e+00,8.553728172768043647e-01,5.950738434819054928e-02
2.490000000000000213e+00,8.553725496409824158e-01,5.953168817104813326e-02
2.497500000000000053e+00,8.557701485582058787e-01,5.953289293755720940e-02
2.505000000000000338e+00,8.555334223340927968e-01,5.950841955949839890e-02
2.512500000000000178e+00,8.551520691528891049e-01,5.952953911224268674e-02
